city,size_rank,date,rent,value,newconstruciton_count,newconstruciton_pricepersqft,rent_affordability,home_owner_affordability,years_for_downpayment,new_renter_income_needed,affordable_home_price,median_sale_price,unemployment,cpi,empl_services,empl_total_nonfarm,empl_mining,empl_wholesale,empl_localgov,empl_horeca,empl_professional_and_business_services,empl_transport_and_utilities,empl_information,empl_finance,empl_manufacuring,salary_hourly,electricity_price,population,fedfunds_rate
us,0.0,2018-09-30,1462.944297207156,228101.02576518903,23363.0,148.61255683689575,0.2671519591802201,0.2577722128006509,7.349059420640201,55555.54161648062,292642.6718200005,230833.0,3.7,252.182,106029.0,149361.0,739.0,5850.9,14486.0,16325.0,21111.0,27577.0,2838.0,8629.0,12744.0,27.32,0.138,329216.0,1.95
us,0.0,2018-10-31,1463.356104832977,228824.05819084565,23359.0,149.47610535600344,0.2662906303550583,0.2611096429704608,7.322272293433691,55760.62790221928,289085.3282671527,227167.0,3.8,252.772,106148.0,149525.0,742.0,5857.4,14491.0,16356.0,21134.0,27569.0,2850.0,8643.0,12767.0,27.37,0.136,329379.0,2.19
us,0.0,2018-11-30,1465.436098839241,229555.370211868,22136.0,150.46426884948556,0.2655383601774003,0.2609178674004786,7.295744937913621,55987.96162364909,290173.0353132343,225167.0,3.8,252.594,106249.0,149622.0,737.0,5865.8,14499.0,16361.0,21138.0,27640.0,2850.0,8651.0,12777.0,27.44,0.134,329527.0,2.2
us,0.0,2018-12-31,1468.3435739050417,230343.5645309315,22662.0,148.3137342908438,0.2647371223443336,0.2551720682892965,7.269828579324179,56213.35223244028,298786.4284616391,225000.0,3.9,252.767,106358.0,149804.0,743.0,5870.6,14527.0,16412.0,21157.0,27575.0,2851.0,8661.0,12796.0,27.55,0.135,329659.0,2.27
us,0.0,2019-01-31,1473.280205786508,231314.54338242565,17689.0,146.4746012994684,0.2636626358763615,0.2497103303616616,7.248393844393827,56386.12137927093,307677.36986284493,224000.0,4.0,252.561,106554.0,150062.0,747.0,5879.6,14527.0,16488.0,21161.0,27635.0,2842.0,8671.0,12828.0,27.59,0.135,329766.0,2.4
us,0.0,2019-02-28,1480.5519045593492,232458.8594608933,19390.0,146.92917745672617,0.262554696917146,0.24725651422333,7.234596583016018,56528.797233524274,312710.3431582089,223133.0,3.8,253.319,106587.0,150067.0,742.0,5885.2,14533.0,16494.0,21191.0,27591.0,2843.0,8683.0,12818.0,27.71,0.136,329862.0,2.4
us,0.0,2019-03-31,1491.9743927728478,233693.3575340414,23962.0,146.8597216998872,0.2616051865589772,0.2446787693405583,7.22319420290647,56700.66925012597,318146.63500127016,224800.0,3.8,254.277,106735.0,150294.0,740.0,5883.3,14567.0,16504.0,21220.0,27592.0,2849.0,8705.0,12825.0,27.8,0.135,329977.0,2.41
us,0.0,2019-04-30,1503.404092562579,234805.5568885013,23407.0,147.94216169352035,0.2606924126179588,0.2415989875241653,7.206439374852555,56890.22555892601,324312.09400094615,230133.0,3.7,255.233,106955.0,150602.0,738.0,5890.1,14600.0,16527.0,21278.0,27628.0,2846.0,8723.0,12822.0,27.78,0.135,330103.0,2.42
us,0.0,2019-05-31,1513.7674365456403,235645.40026331475,25112.0,150.14485890014473,0.2600536720225981,0.2394665731933979,7.185342643911492,57108.42458755302,328720.90207993536,238000.0,3.6,255.296,107048.0,150640.0,734.0,5889.1,14583.0,16507.0,21325.0,27638.0,2858.0,8736.0,12818.0,27.86,0.136,330240.0,2.39
us,0.0,2019-06-30,1521.1311306695293,236383.76226724545,22543.0,148.7721891163687,0.2601429235709097,0.2340381117624757,7.182786820138471,57316.28200793877,338778.5851112275,245467.0,3.6,255.213,107182.0,150844.0,732.0,5880.9,14601.0,16512.0,21367.0,27646.0,2875.0,8749.0,12824.0,27.95,0.139,330393.0,2.38
us,0.0,2019-07-31,1525.7641351369844,237065.23278539325,20889.0,150.21994847121692,0.2603584617528797,0.2332820790241364,7.182189086774698,57523.29713038536,341000.4816868955,249467.0,3.7,255.802,107283.0,150934.0,726.0,5887.4,14552.0,16522.0,21389.0,27662.0,2866.0,8770.0,12827.0,28.02,0.14,330553.0,2.4
us,0.0,2019-08-31,1527.8748860308792,237805.54167133992,20256.0,151.38888888888889,0.2606984989815751,0.230546028685054,7.187616047341025,57725.121519025466,346886.7461574469,249633.0,3.6,256.036,107453.0,151155.0,721.0,5885.9,14558.0,16602.0,21419.0,27652.0,2865.0,8787.0,12826.0,28.13,0.139,330729.0,2.13
us,0.0,2019-09-30,1528.4189668152542,238455.2116786861,17600.0,151.57116451016637,0.2619783633531416,0.2312190726646687,7.215319490713743,57935.84973475295,346743.90233050246,246167.0,3.5,256.43,107615.0,151358.0,718.0,5888.7,14582.0,16673.0,21426.0,27676.0,2871.0,8785.0,12825.0,28.17,0.139,330904.0,2.04
us,0.0,2019-10-31,1528.9416422263455,239344.51085018943,18319.0,152.40678368121442,0.2633369540622974,0.2340804059195607,7.254391757140361,58131.60042295199,343139.8760885741,242833.0,3.6,257.155,107744.0,151458.0,720.0,5894.4,14594.0,16722.0,21435.0,27689.0,2874.0,8801.0,12771.0,28.23,0.136,331066.0,1.83
us,0.0,2019-11-30,1530.015866118347,240534.72509218767,17830.0,152.1578601072983,0.264611656603068,0.2357593888053626,7.303585263798385,58303.38389917171,342149.28941052995,240667.0,3.6,257.879,107892.0,151666.0,708.0,5894.7,14619.0,16761.0,21443.0,27687.0,2885.0,8814.0,12816.0,28.35,0.133,331213.0,1.55
us,0.0,2019-12-31,1531.699194378336,241920.96179178465,20990.0,152.3687580025608,0.2660323791191636,0.2381034444249648,7.362644901204945,58479.08065858484,340373.70020158443,241333.0,3.6,258.63,108045.0,151792.0,696.0,5898.3,14638.0,16805.0,21421.0,27753.0,2891.0,8823.0,12798.0,28.37,0.133,331345.0,1.55
us,0.0,2020-01-31,1537.310999901826,243415.06623454773,14487.0,151.97002554841805,0.2676149777307214,0.2366644637002577,7.427088850823853,58682.02070740488,345338.4368848615,240633.0,3.6,258.906,108204.0,152045.0,689.0,5897.0,14666.0,16814.0,21434.0,27775.0,2897.0,8838.0,12785.0,28.44,0.134,331443.0,1.55
us,0.0,2020-02-29,1545.999250438189,244877.6262255668,15977.0,151.9495412844037,0.2688571404481517,0.2350768762885569,7.479074404213621,58900.96405105621,350529.82698304526,240633.0,3.5,259.246,108363.0,152309.0,684.0,5891.7,14697.0,16899.0,21437.0,27729.0,2907.0,8873.0,12780.0,28.55,0.134,331525.0,1.58
us,0.0,2020-03-31,1555.9608947559586,246413.24019505625,20177.0,151.98170731707316,0.2674215149170875,0.2342358904922222,7.463346662685497,59079.41622969491,354134.0179756903,242633.0,4.4,258.15,107123.0,150898.0,676.0,5875.1,14692.0,16164.0,21357.0,27647.0,2899.0,8853.0,12721.0,28.77,0.134,331642.0,0.65
us,0.0,2020-04-30,1561.5752133619326,247755.20106982265,17861.0,150.46296296296296,0.2643184477373567,0.2302887689111455,7.42916729496306,58976.68972666528,363131.7719353285,248333.0,14.8,256.126,89941.0,130421.0,618.0,5484.8,13925.0,8715.0,19180.0,24553.0,2641.0,8589.0,11419.0,30.01,0.133,331699.0,0.05
us,0.0,2020-05-31,1567.9061344664683,248525.5351069418,18543.0,148.96640671865626,0.2611067537234083,0.2275080689358632,7.385084682825548,58783.56350376314,369300.8914196007,251667.0,13.2,255.848,92389.0,133040.0,594.0,5502.4,13460.0,9936.0,19361.0,24980.0,2607.0,8607.0,11652.0,29.72,0.134,331701.0,0.05
us,0.0,2020-06-30,1576.3906179964636,248980.8567814956,25071.0,151.0989010989011,0.2594085302710082,0.2257402169585554,7.370330533646087,58616.62972288,373339.2824924428,255033.0,11.0,257.004,96511.0,137655.0,578.0,5542.0,13485.0,11764.0,19729.0,25967.0,2626.0,8622.0,11982.0,29.38,0.137,331744.0,0.08
us,0.0,2020-07-31,1589.6877082750318,249722.28321324123,26907.0,155.05544651619235,0.2587423276443616,0.2229294345811636,7.369637042878362,58629.16556121252,380055.62620098464,261367.0,10.2,258.408,97923.0,139240.0,569.0,5523.3,13559.0,12402.0,19910.0,26233.0,2618.0,8623.0,12019.0,29.38,0.137,331811.0,0.09
us,0.0,2020-08-31,1601.6561753686549,251430.9221548629,25830.0,158.36651583710406,0.2581989551911794,0.2222823053290098,7.401162712475856,58632.04508737599,384037.5719611656,269700.0,8.4,259.366,98955.0,140774.0,561.0,5539.3,13715.0,12566.0,20089.0,26624.0,2641.0,8646.0,12047.0,29.48,0.137,331885.0,0.1
us,0.0,2020-09-30,1612.1699179694235,254315.84005693323,25009.0,160.14717872032952,0.258735168402397,0.2240718906861818,7.494478762924655,58659.97506719735,385073.9101472828,275667.0,7.8,259.951,99972.0,141820.0,560.0,5565.4,13718.0,13075.0,20237.0,26767.0,2697.0,8676.0,12102.0,29.51,0.137,331966.0,0.09
us,0.0,2020-10-31,1620.5625642950697,257803.07489840488,24707.0,162.491672218521,0.2599273028079729,0.2262635992476415,7.610678792618799,58801.13200964911,386307.39473685663,277633.0,6.9,260.249,100749.0,142493.0,556.0,5578.6,13710.0,13337.0,20424.0,26958.0,2695.0,8696.0,12124.0,29.54,0.135,332041.0,0.09
us,0.0,2020-11-30,1627.2730226075023,261722.6267161276,21524.0,163.25468925040826,0.2612352893358545,0.2282629829342971,7.7312786624749315,59037.44804246902,388570.6855249392,279300.0,6.7,260.895,101051.0,142761.0,555.0,5590.8,13711.0,13260.0,20559.0,27134.0,2701.0,8706.0,12154.0,29.63,0.136,332079.0,0.09
